,Pos,Name,Gun Time,Net Time,Representing,Category (Pos),Overall Pos,Unnamed: 7,Links,Speed_5km,Speed_10km,Speed_15km,Speed_20km,Speed_25km,Speed_30km,Speed_35km,Speed_40km,COV
0,17,Rui Yong Soh (#1001),02:45:53,02:45:51,SGP  |,20-29  (7),24,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1001?page=1 ,217.0,225.0,225.2,221.8,233.4,236.2,253.6,258.8,0.06048
1,18,Iskandar Mohamed (#75),02:50:57,02:50:55,SGP  |,30-39  (11),27,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/75?page=1 ,237.8,240.8,242.2,242.2,245.2,242.6,246.8,250.2,0.01471
2,19,Daniel Leow (#1153),02:51:50,02:51:47,SGP  |,20-29  (8),28,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1153?page=1 ,237.4,240.8,242.4,242.0,245.2,242.6,246.8,254.8,0.01988
3,21,Melvin Wong (#73),02:54:52,02:54:51,SGP  |,30-39  (12),31,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/73?page=1 ,241.2,245.0,246.0,242.8,242.2,247.0,258.0,263.2,0.03028
4,23,Burton He (#1079),02:55:01,02:54:57,SGP  |,20-29  (10),34,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1079?page=1 ,240.8,244.8,246.0,243.0,242.2,247.0,258.8,266.0,0.03377
5,28,ghim khoon ho (#78),02:58:49,02:58:47,SGP  |,30-39  (15),40,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/78?page=1 ,244.2,253.4,251.2,248.0,269.4,260.4,253.4,255.8,0.02848
6,31,Kok Soon Chua (#1162),03:02:49,03:02:45,SGP  |,30-39  (17),44,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1162?page=1 ,246.6,249.6,247.0,245.8,257.4,272.0,277.6,288.0,0.05917
7,35,Andy Neo (#1068),03:05:03,03:04:58,SGP  |,40-49  (6),48,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1068?page=1 ,256.6,256.6,256.0,255.6,257.2,260.6,270.6,287.6,0.04009
8,36,Foo Xiao Wen Giebert (#77),03:05:43,03:05:41,SGP  |,20-29  (11),49,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/77?page=1 ,239.0,240.0,242.2,246.8,259.0,266.8,286.4,320.8,0.1018
9,38,Devathas Satianathan (#1005),03:07:49,03:07:44,SGP  |,30-39  (20),52,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1005?page=1 ,229.0,231.2,234.2,242.2,262.2,288.6,337.0,305.0,0.14085
10,40,Evan Chee (#74),03:08:25,03:08:23,SGP  |,30-39  (21),54,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/74?page=1 ,245.0,267.8,256.2,260.0,280.8,273.4,268.6,288.4,0.04838
11,41,Wenlong Ning (#1226),03:08:53,03:08:48,SGP  |,40-49  (9),55,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1226?page=1 ,256.6,257.0,259.2,257.2,267.2,271.6,282.6,293.6,0.04804
12,42,Wei Bin Tan (#1119),03:09:11,03:09:07,SGP  |,20-29  (12),56,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1119?page=1 ,245.8,252.6,247.6,248.4,255.0,259.0,314.0,335.4,0.12025
13,43,Ansgar Cheng (#80),03:10:12,03:10:11,SGP  |,50-59  (1),58,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/80?page=1 ,248.8,261.2,256.8,257.8,263.6,284.8,296.0,296.2,0.06491
14,46,Joshua Li (#1010),03:10:58,03:10:53,SGP  |,30-39  (23),61,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1010?page=1 ,246.4,251.8,252.0,253.4,264.2,269.4,289.8,326.2,0.0935
15,48,Wilson Goh (#1113),03:12:25,03:12:22,SGP  |,30-39  (25),63,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1113?page=1 ,249.2,260.4,260.2,270.8,289.8,282.2,284.8,290.2,0.05322
16,50,Andrew Yeo (#2295),03:13:46,03:12:41,SGP  |,20-29  (13),66,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2295?page=1 ,247.0,255.2,258.6,260.2,280.0,269.8,314.4,309.2,0.08583
17,52,Chee Tuck Seng (#1009),03:13:55,03:13:50,SGP  |,40-49  (11),69,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1009?page=2 ,256.8,259.4,260.4,265.0,278.6,282.2,295.0,305.0,0.06094
18,55,Soo Boon Ng (#1592),03:15:02,03:14:00,SGP  |,30-39  (28),72,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1592?page=2 ,237.2,261.4,262.8,267.2,288.4,283.8,293.8,308.6,0.07661
19,57,YEW WEE CHUA (#1058),03:16:04,03:16:00,SGP  |,20-29  (15),74,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1058?page=2 ,246.6,252.0,253.6,257.0,273.4,302.4,332.4,287.6,0.10199
20,60,Ashley Liew (#79),03:16:58,03:16:57,SGP  |,30-39  (32),77,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/79?page=2 ,234.2,247.6,251.6,260.4,276.4,304.4,311.2,342.2,0.12549
21,61,WEI JIE HIA (#1836),03:17:02,03:16:01,SGP  |,20-29  (16),78,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1836?page=2 ,264.4,273.4,272.0,270.2,271.4,270.8,279.2,307.6,0.04523
22,62,Daniel Tan (#1120),03:17:04,03:16:59,SGP  |,40-49  (12),79,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1120?page=2 ,246.0,255.8,260.8,259.6,269.6,285.6,307.0,335.2,0.10186
23,63,YONG HE (#2639),03:17:43,03:16:38,SGP  |,30-39  (33),81,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2639?page=2 ,288.0,288.4,283.6,283.8,282.8,271.0,274.2,274.8,0.02202
24,64,KU SEOW WEE (#1152),03:19:44,03:19:41,SGP  |,40-49  (13),84,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1152?page=2 ,251.0,269.4,273.2,279.0,289.8,289.4,300.0,311.4,0.06253
25,65,Ng Wei Quan (#1215),03:19:53,03:19:48,SGP  |,20-29  (17),85,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1215?page=2 ,265.8,278.8,271.4,274.0,276.0,280.6,302.8,307.6,0.04973
26,66,Weijie Tan (#1241),03:20:01,03:20:01,SGP  |,20-29  (18),86,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1241?page=2 ,228.2,232.8,230.0,237.2,289.8,305.8,381.0,340.8,0.19471
27,72,Hoong Wei Wong (#1030),03:20:58,03:20:55,SGP  |,30-39  (37),92,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1030?page=2 ,267.4,273.8,273.6,271.2,280.8,291.0,310.8,312.4,0.0585
28,73,HUANG CHIH JEN (#1071),03:21:17,03:21:13,SGP  |,40-49  (16),93,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1071?page=2 ,259.6,264.4,264.4,272.4,283.2,296.0,314.2,329.4,0.084
29,74,Desmond Ong (#1111),03:22:47,03:22:43,SGP  |,30-39  (38),94,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1111?page=2 ,257.4,263.0,265.6,269.4,281.4,304.8,320.8,330.6,0.09239
30,79,Tiong Pheng Cheam (#1909),03:24:37,03:23:20,SGP  |,40-49  (18),99,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1909?page=2 ,302.4,290.0,289.2,288.2,292.6,283.8,282.2,289.6,0.0198
31,80,Tai Zhi Ngim (#1240),03:24:52,03:24:48,SGP  |,20-29  (20),100,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1240?page=2 ,244.4,246.4,256.8,259.6,272.4,298.8,366.6,374.2,0.16965
32,85,Terry Ng (#1094),03:26:24,03:26:19,SGP  |,20-29  (21),105,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1094?page=2 ,266.0,278.6,271.4,274.0,276.0,280.8,340.4,346.4,0.10346
33,86,Yu Rong Teo (#2391),03:26:53,03:25:27,SGP  |,20-29  (22),106,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2391?page=2 ,255.0,263.4,272.2,276.6,293.2,307.0,318.8,339.8,0.09445
34,87,M Rameshon (#1107),03:27:08,03:27:03,SGP  |,50-59  (5),107,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1107?page=2 ,260.2,265.6,273.6,281.6,288.6,304.2,325.4,344.0,0.0945
35,92,WeiQi Pan (#1011),03:28:56,03:28:51,SGP  |,30-39  (40),112,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1011?page=2 ,265.6,285.4,291.8,295.0,307.0,308.2,313.4,313.4,0.05198
36,95,Chee Kwang Tan (#1076),03:29:39,03:29:32,SGP  |,30-39  (41),115,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1076?page=2 ,252.4,259.2,257.0,262.4,289.2,312.2,350.0,388.6,0.15872
37,97,Matthew Yeo (#2245),03:30:04,03:28:51,SGP  |,40-49  (26),117,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2245?page=2 ,288.2,283.2,283.2,283.6,293.2,295.8,317.0,329.8,0.05497
38,101,Bernard Tan (#1923),03:30:58,03:29:44,SGP  |,30-39  (45),121,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1923?page=3 ,296.2,298.6,295.6,296.0,299.2,295.2,299.6,306.2,0.01134
39,104,MOHAMMAD NAZRI BIN RAHMAN (#1232),03:31:27,03:31:22,SGP  |,20-29  (24),124,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1232?page=3 ,285.8,292.8,301.6,302.6,304.0,302.2,303.8,311.4,0.02428
40,106,ALEX GOH (#1047),03:31:47,03:30:30,SGP  |,40-49  (29),126,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1047?page=3 ,302.4,290.0,289.0,288.4,296.6,291.6,313.6,312.4,0.03249
41,110,Wei Feng (#1000),03:32:49,03:32:46,SGP  |,50-59  (8),131,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1000?page=3 ,268.6,276.4,280.2,291.0,314.6,315.4,329.2,337.2,0.08023
42,115,Shixin Wang (#2576),03:33:40,03:32:33,SGP  |,40-49  (33),139,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2576?page=3 ,282.2,288.4,295.0,292.2,313.4,301.6,309.6,325.0,0.04442
43,116,DERIC LAU (#2339),03:33:53,03:32:42,SGP  |,40-49  (34),140,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2339?page=3 ,281.2,290.6,289.2,290.8,299.6,300.2,314.2,339.8,0.0579
44,118,Lip Seng Pua (#1090),03:34:20,03:34:16,SGP  |,40-49  (36),142,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1090?page=3 ,259.8,264.2,264.4,271.0,291.8,296.2,326.8,441.6,0.18815
45,119,Ann kai Mak (#1163),03:34:35,03:34:28,SGP  |,20-29  (28),143,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1163?page=3 ,258.8,272.4,279.2,286.0,304.4,317.6,340.0,364.8,0.11164
46,124,Jun Chuan Toh (#2217),03:35:20,03:34:16,SGP  |,20-29  (29),148,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2217?page=3 ,262.8,275.6,277.2,278.6,284.6,296.0,365.0,382.6,0.13911
47,128,CHEE BENG NG (#1156),03:35:37,03:34:28,SGP  |,40-49  (38),153,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1156?page=3 ,285.6,291.0,289.0,289.2,296.4,298.4,321.6,344.0,0.06323
48,129,Wayne Chen (#2422),03:36:01,03:34:57,SGP  |,30-39  (52),154,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2422?page=3 ,283.6,288.8,294.0,295.0,301.0,298.4,319.2,354.0,0.06971
49,131,ALAN CHANG (#1012),03:36:38,03:36:34,SGP  |,50-59  (11),157,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1012?page=3 ,273.2,280.8,284.6,287.6,301.2,309.8,339.2,368.0,0.10014
50,132,Winston Koh (#1655),03:36:56,03:35:42,SGP  |,20-29  (30),159,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1655?page=3 ,299.2,298.2,298.4,296.6,309.2,301.4,316.8,332.4,0.03819
51,133,Yew Meng Tan (#1992),03:37:01,03:35:57,SGP  |,30-39  (54),160,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1992?page=3 ,286.0,311.2,330.8,295.2,314.8,297.8,313.8,309.6,0.04244
52,134,Colin Tung (#1112),03:37:23,03:37:19,SGP  |,30-39  (55),161,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1112?page=3 ,252.8,260.2,256.2,266.6,298.0,322.2,381.8,408.6,0.18484
53,135,Lei Ding (#2065),03:37:49,03:36:00,SGP  |,30-39  (56),162,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2065?page=3 ,290.6,295.0,305.0,308.8,287.2,298.6,314.4,342.0,0.05355
54,136,Henry Setiono (#2352),03:38:04,03:36:54,SGP  |,30-39  (57),163,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2352?page=3 ,285.0,293.0,289.2,293.6,306.6,317.6,329.2,343.8,0.06443
55,137,Jordy Kay (#7955),03:38:11,03:38:05,SGP  |,20-29  (31),164,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/7955?page=3 ,291.2,295.0,295.6,298.0,306.6,302.8,318.8,351.6,0.0603
56,140,Chee Wee Richard Lai (#1689),03:39:04,03:38:02,SGP  |,40-49  (39),168,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1689?page=3 ,290.6,300.4,304.0,300.4,307.2,308.2,320.2,340.0,0.04581
57,142,MEIQING ZHANG (#1614),03:39:29,03:37:42,SGP  |,40-49  (41),170,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1614?page=3 ,291.2,294.6,297.4,294.4,305.8,302.2,314.4,358.0,0.06644
58,143,Yan Mun Foong (#2669),03:39:47,03:38:41,SGP  |,30-39  (59),171,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2669?page=3 ,281.0,288.8,291.6,299.2,308.6,327.8,347.2,342.2,0.07614
59,146,Lim Zhixong Raymond (#1435),03:40:24,03:39:15,SGP  |,40-49  (43),174,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1435?page=3 ,281.4,291.6,307.2,308.4,302.6,304.2,323.2,362.4,0.07366
60,147,James Chong Guan Lee (#1069),03:40:28,03:40:25,SGP  |,40-49  (44),175,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1069?page=3 ,293.2,291.2,292.8,291.8,298.6,298.4,354.0,378.4,0.10189
61,148,ENG IVAN (#2317),03:40:36,03:39:29,SGP  |,30-39  (61),177,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2317?page=3 ,277.8,282.0,286.2,290.6,298.8,304.6,347.8,387.8,0.1165
62,149,SHAMSHUL EMAN (#1095),03:40:37,03:40:32,SGP  |,50-59  (13),178,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1095?page=3 ,270.6,287.8,287.8,302.8,316.0,328.0,343.2,364.6,0.09449
63,150,Edwin Wu (#1890),03:40:40,03:39:39,SGP  |,30-39  (62),179,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1890?page=3 ,290.0,305.2,304.4,297.8,307.0,316.0,323.8,350.4,0.05605
64,152,Lance Sum (#1664),03:41:05,03:39:59,SGP  |,30-39  (64),181,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1664?page=4 ,271.2,286.6,288.4,291.2,298.4,304.8,344.2,396.2,0.12297
65,153,David Hu (#1648),03:41:10,03:40:08,SGP  |,20-29  (32),182,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1648?page=4 ,269.2,271.2,269.6,270.8,301.0,312.8,393.2,434.4,0.18966
66,155,CHAI KWANG TAN (#1428),03:42:00,03:40:18,SGP  |,40-49  (45),186,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1428?page=4 ,318.4,314.0,306.4,312.0,309.8,309.8,310.2,321.6,0.01502
67,156,Lester Tan (#2662),03:42:07,03:35:39,SGP  |,20-29  (33),187,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2662?page=4 ,293.4,290.6,290.2,286.6,294.8,314.4,344.4,341.2,0.07216
68,167,Tan Kerwin (#2327),03:43:39,03:42:16,SGP  |,30-39  (74),199,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2327?page=4 ,263.4,287.0,286.6,296.6,305.2,339.2,358.0,373.6,0.11572
69,168,Ah siao Lim Jun Hong (#1255),03:43:49,03:43:45,SGP  |,30-39  (75),200,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1255?page=4 ,271.8,280.0,286.0,287.2,309.4,329.4,376.6,395.4,0.13739
70,171,Adrian Mok (#2953),03:44:26,03:43:15,SGP  |,40-49  (47),203,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2953?page=4 ,275.0,281.0,275.8,286.4,340.0,326.2,370.6,380.4,0.12817
71,173,Ivon Ng (#1125),03:44:39,03:44:34,SGP  |,20-29  (35),205,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1125?page=4 ,283.2,289.8,285.4,291.2,300.0,330.6,349.6,411.0,0.13132
72,174,Sergei Lukasevits (#1362),03:44:50,03:43:17,SGP  |,40-49  (48),206,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1362?page=4 ,323.2,321.0,316.2,310.6,313.8,313.6,315.4,327.6,0.01685
73,176,Loh Teck hua (#2832),03:45:02,03:43:55,SGP  |,50-59  (15),208,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2832?page=4 ,279.0,291.2,298.2,302.8,327.4,329.0,348.2,364.8,0.08747
74,177,Syamsul Ramadhan (#1617),03:45:21,03:43:53,SGP  |,40-49  (49),209,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1617?page=4 ,310.4,307.8,308.6,306.6,308.2,314.0,330.4,358.4,0.05306
75,178,Rui Feng Tan (#1889),03:45:25,03:44:19,SGP  |,30-39  (78),210,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1889?page=4 ,282.6,298.0,297.6,300.6,303.2,307.6,346.0,401.8,0.11422
76,179,Chengjie Lee (#2212),03:45:41,03:44:19,SGP  |,30-39  (79),212,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2212?page=4 ,315.4,321.0,319.6,315.8,317.8,316.4,321.6,327.4,0.01171
77,180,Chong Yee Wee (#2541),03:45:50,03:44:42,SGP  |,30-39  (80),213,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2541?page=4 ,286.6,289.0,292.4,298.8,312.4,315.0,384.8,381.4,0.11763
78,181,Wensen Yap (#2262),03:45:51,03:45:51,SGP  |,30-39  (81),214,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2262?page=4 ,327.8,313.6,314.4,316.0,326.8,333.2,330.8,316.0,0.0235
79,187,Keith Low (#10146),03:46:19,03:24:16,SGP  |,20-29  (38),220,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/10146?page=4 ,297.8,292.8,285.0,280.8,284.0,286.0,289.2,305.8,0.0267
80,190,Yee Leong Lieu (#4096),03:46:42,03:40:41,SGP  |,50-59  (18),224,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/4096?page=4 ,306.8,308.8,308.6,309.8,315.6,309.4,315.0,334.2,0.02661
81,191,Tang Foo Hou (#3527),03:46:45,03:40:47,SGP  |,40-49  (52),225,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/3527?page=4 ,307.0,310.4,299.4,300.2,318.6,323.0,332.2,332.0,0.03897
82,194,Yiwen Tan (#3409),03:47:07,03:41:00,SGP  |,20-29  (40),228,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/3409?page=4 ,298.8,292.8,288.0,292.6,308.4,317.2,340.0,365.2,0.08104
83,196,chong ming wong (#2454),03:47:42,03:46:27,SGP  |,50-59  (19),232,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2454?page=4 ,283.8,288.0,297.4,292.8,322.4,333.8,358.4,384.6,0.10723
84,202,Nico Ng (#1421),03:48:29,03:47:07,SGP  |,20-29  (42),238,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1421?page=5 ,302.2,297.2,297.2,316.6,333.8,344.6,338.6,354.8,0.06604
85,205,Yuen Cheng Yong (#1538),03:48:41,03:47:14,SGP  |,40-49  (60),242,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1538?page=5 ,307.6,309.4,309.0,316.6,332.2,320.6,338.6,348.0,0.04405
86,206,Han Cheng Kwang (#1572),03:48:41,03:47:29,SGP  |,40-49  (61),243,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1572?page=5 ,315.0,318.6,318.6,316.6,323.4,323.4,329.8,345.2,0.02842
87,208,Gerald Tan (#1064),03:48:55,03:48:50,SGP  |,20-29  (43),245,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1064?page=5 ,275.0,289.2,298.2,289.2,305.6,344.0,387.8,410.0,0.14473
88,210,TAN BOON LENG (#2638),03:49:06,03:47:41,SGP  |,50-59  (21),247,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2638?page=5 ,314.6,313.0,313.2,316.0,313.8,317.6,336.0,363.6,0.05179
89,213,Ron H Hung Woo Siow (#1326),03:49:24,03:48:15,SGP  |,50-59  (22),250,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1326?page=5 ,285.4,291.0,288.8,290.8,319.8,327.4,377.8,415.4,0.13863
90,215,Weng Cheong Foo (#3304),03:49:45,03:44:34,SGP  |,60-69  (1),253,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/3304?page=5 ,304.6,300.6,306.0,308.0,312.0,328.8,331.2,362.4,0.0608
91,218,First Name Last Name (#3666),03:49:48,03:44:43,SGP  |,20-29  (45),256,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/3666?page=5 ,320.8,317.0,318.0,319.6,326.4,317.0,317.0,323.6,0.01023
92,224,Goh Lian Boon Wilson (#4851),03:50:49,03:45:23,SGP  |,40-49  (65),263,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/4851?page=5 ,317.4,316.6,317.8,320.0,323.8,320.0,318.4,328.8,0.01192
93,227,Kiew Yi heng (#1449),03:51:03,03:49:35,SGP  |,20-29  (47),266,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1449?page=5 ,306.8,300.2,293.0,297.0,316.4,345.4,400.8,362.8,0.10976
94,228,Melvin Tan (#1659),03:51:07,03:49:57,SGP  |,40-49  (67),267,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1659?page=5 ,311.0,317.6,313.2,318.0,321.4,328.6,335.8,367.0,0.05221
95,229,Vincent Seng (#1911),03:51:19,03:50:14,SGP  |,50-59  (27),268,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1911?page=5 ,278.4,289.8,293.4,301.8,323.6,346.6,381.0,388.0,0.1216
96,230,Aaron Chua (#1974),03:51:26,03:50:08,SGP  |,30-39  (88),269,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1974?page=5 ,296.2,302.6,308.4,313.4,324.8,345.2,352.4,366.0,0.0733
97,232,Chee Cheng Ng (#1413),03:51:43,03:49:36,SGP  |,40-49  (68),271,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1413?page=5 ,322.2,314.4,324.0,310.8,320.8,320.0,337.6,362.8,0.0476
98,233,Morgan Lim Zhi Hong (#1073),03:51:45,03:51:41,SGP  |,30-39  (90),272,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1073?page=5 ,251.0,277.2,287.2,289.8,310.4,327.8,448.8,429.0,0.20682
99,238,Han Chee Lim (#3638),03:52:37,03:46:26,SGP  |,50-59  (28),277,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/3638?page=5 ,328.8,310.0,305.2,306.8,323.4,320.0,329.0,358.0,0.04963
100,246,Leong Hwee Goh (#2096),03:53:33,03:52:14,SGP  |,30-39  (95),288,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2096?page=5 ,321.4,336.2,317.0,322.6,333.8,329.4,329.0,348.0,0.02786
101,249,Wei Khoon Lim (#2085),03:54:02,03:52:39,SGP  |,30-39  (98),291,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2085?page=5 ,321.8,326.2,324.6,324.4,335.0,331.2,317.2,366.4,0.04343
102,255,Keng nam Ng (#3319),03:54:30,03:48:58,SGP  |,40-49  (77),298,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/3319?page=6 ,337.0,334.6,317.2,323.0,325.2,324.2,325.4,330.6,0.0186
103,256,Tan Lexxus (#1036),03:54:44,03:54:43,SGP  |,40-49  (78),299,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1036?page=6 ,257.4,257.2,268.2,298.6,383.4,407.0,419.0,392.8,0.19937
104,260,Sien Long Lim (#4197),03:55:06,03:50:01,SGP  |,30-39  (99),304,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/4197?page=6 ,320.2,316.0,315.8,317.6,323.0,319.0,339.0,358.6,0.04333
105,266,Lik Sin Tan (#4076),03:55:58,03:50:33,SGP  |,30-39  (102),310,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/4076?page=6 ,314.4,327.0,326.8,327.0,327.8,328.8,336.0,339.4,0.02104
106,269,Enping Cheow (#1542),03:56:12,03:55:01,SGP  |,30-39  (104),313,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1542?page=6 ,272.4,298.2,308.2,332.4,348.2,369.6,385.4,358.4,0.10818
107,270,ENG SENG NG (#3429),03:56:19,03:50:42,SGP  |,40-49  (81),314,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/3429?page=6 ,299.0,314.6,316.0,316.2,320.2,326.6,342.6,367.2,0.0601
108,271,KENNY LOK (#2439),03:56:33,03:55:30,SGP  |,50-59  (34),316,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2439?page=6 ,295.8,324.6,331.8,336.0,336.0,336.0,-385.6,1109.0,1.11541
