,Pos,Name,Gun Time,Net Time,Representing,Category (Pos),Overall Pos,Unnamed: 7,Links,Speed_5km,Speed_10km,Speed_15km,Speed_20km,Speed_25km,Speed_30km,Speed_35km,Speed_40km,COV
2410,5245,TIAN LYE TEO (#9046),06:49:00,06:26:38,SGP  |,30-39  (1700),6382,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/9046?page=105 ,NA,NA,NA,NA,NA,NA,NA,NA,NA
2411,5246,Wei Xuan Kong (#10087),06:49:01,06:21:11,SGP  |,20-29  (776),6383,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/10087?page=105 ,434.4,496.8,517.2,525.6,560.4,506.6,565.0,648.0,0.10929
2412,5247,Dexter Chan (#5962),06:49:01,06:32:07,SGP  |,20-29  (777),6384,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/5962?page=105 ,438.6,488.2,544.4,562.6,557.2,557.2,661.2,632.0,0.11982
2413,5248,Marcus Foo (#4731),06:49:02,06:21:12,SGP  |,20-29  (778),6385,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/4731?page=105 ,434.6,496.6,517.2,525.6,560.4,506.4,564.8,648.2,0.10934
2414,5250,Francis Lim (#3452),06:49:06,06:00:03,SGP  |,40-49  (1751),6388,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/3452?page=105 ,410.6,444.2,436.8,482.8,506.6,566.6,649.6,591.6,0.15415
2415,5252,Jonathan Koh (#3306),06:49:06,06:33:51,SGP  |,20-29  (780),6390,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/3306?page=106 ,440.0,468.4,542.2,577.8,590.0,590.0,619.4,687.6,0.1327
2416,5253,M Effendi (#6970),06:49:07,06:33:52,SGP  |,40-49  (1752),6391,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/6970?page=106 ,383.6,448.8,463.4,506.6,561.0,688.0,670.8,725.8,0.21251
2417,5254,Wing Yan Dominic Leong (#5414),06:49:07,06:33:22,SGP  |,30-39  (1701),6392,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/5414?page=106 ,463.6,462.0,544.4,562.6,623.8,608.0,562.6,653.4,0.11683
2418,5255,FAISAL SALEH (#11218),06:49:09,06:10:39,SGP  |,40-49  (1753),6394,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/11218?page=106 ,486.6,493.6,518.6,524.0,575.4,535.2,561.4,539.8,0.05402
2419,5256,Sze Chong Lee (#4563),06:49:09,06:43:50,SGP  |,30-39  (1702),6395,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/4563?page=106 ,404.8,521.4,538.6,582.0,642.0,610.4,626.6,636.4,0.13182
2420,5257,Heng Sylvester (#7061),06:49:12,06:32:47,SGP  |,40-49  (1754),6397,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/7061?page=106 ,NA,NA,NA,NA,NA,NA,NA,NA,NA
2421,5259,Chan Chong Choy (#12551),06:49:18,06:13:14,SGP  |,60-69  (125),6401,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/12551?page=106 ,501.8,483.2,489.6,522.8,558.0,522.6,593.0,581.6,0.07322
2422,5261,Chui Lee Ting (#2437),06:49:18,06:48:00,SGP  |,30-39  (1704),6403,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2437?page=106 ,406.0,522.2,568.6,527.6,623.0,603.8,662.6,747.6,0.1648
2423,5262,Say Hong Tan (#12515),06:49:20,06:11:14,SGP  |,40-49  (1755),6404,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/12515?page=106 ,438.6,511.4,515.6,515.8,544.8,531.0,569.0,598.0,0.08321
2424,5264,Giin Huei Kong (#11135),06:49:22,06:14:11,SGP  |,50-59  (866),6406,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/11135?page=106 ,473.8,485.6,496.2,504.2,546.8,546.8,606.6,595.2,0.08816
2425,5265,Wenming Lee (#13857),06:49:23,06:22:17,SGP  |,30-39  (1705),6407,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/13857?page=106 ,428.0,443.4,538.6,532.6,548.0,666.6,580.2,616.0,0.13825
2426,5266,Lim Jit An (#7784),06:49:24,06:24:27,SGP  |,60-69  (126),6408,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/7784?page=106 ,449.6,482.8,534.0,576.4,566.8,566.2,599.6,629.4,0.10123
2427,5268,Alan Wei Lun Ng (#11732),06:49:26,06:15:24,SGP  |,30-39  (1706),6410,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/11732?page=106 ,392.6,465.6,496.2,485.8,558.0,558.0,656.6,650.8,0.1601
2428,5269,Julian Tan (#13093),06:49:27,06:25:03,SGP  |,50-59  (867),6411,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/13093?page=106 ,473.4,484.4,512.8,539.0,592.6,592.6,619.2,596.8,0.09569
2429,5271,MENG SEE TOH (#12345),06:49:30,06:11:29,SGP  |,50-59  (868),6413,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/12345?page=106 ,431.2,423.2,522.8,507.0,587.8,562.4,575.6,592.0,0.12019
2430,5272,Victor Lam (#7845),06:49:30,06:24:41,SGP  |,40-49  (1757),6414,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/7845?page=106 ,411.2,483.4,524.2,479.8,551.8,551.8,705.6,636.4,0.16026
